skip,U.aalge,U.lomvia,F.arctica,C.grylle,Phalacro,S.mollissima,C. hyemalis
1770,0,0,0,0,0,0,0
1922,1,0,0,0,0,0,0
2050,0,0,0,0,0,0,0
2082,0,0,0,1,0,1,0
2178,0,0,0,0,0,0,0
2306,0,0,0,0,0,0,0
2426,0,0,0,0,0,0,0
2502,0,0,0,5,1,8,0
2579,0,0,0,0,0,11,0
2606,0,1,0,1,0,0,0
2614,0,0,0,0,0,0,0
2811,0,0,0,0,0,3,0
6035,0,0,0,6,0,0,0
6583,0,0,0,0,0,0,0
6583,0,0,0,0,0,0,0
6911,0,0,0,0,0,0,0
7143,0,0,0,0,0,0,0
7223,9,0,0,0,0,0,0
7515,0,0,1,2,0,0,0
6605,0,0,0,0,0,0,0
7076,0,0,0,0,0,0,0
6563,0,0,0,0,0,0,0
2390,0,0,0,0,0,0,0
2138,0,0,0,0,0,0,0
7220,0,0,0,0,0,0,0
2104,0,0,0,0,0,0,0
2571,0,0,0,0,0,0,0
1828,0,0,0,0,0,1,0
2560,0,0,0,0,0,0,0
2438,0,0,0,0,0,0,0
7161,0,0,0,0,0,0,0
6780,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0
7363,0,0,0,0,0,0,0
2712,0,0,0,0,0,0,0
1803,0,0,0,0,0,0,0
2620,0,0,0,0,0,1,0
2076,0,0,0,0,0,0,0
2328,0,0,0,1,0,3,1
2754,0,0,0,0,0,0,0
2696,0,0,0,0,0,0,0
6998,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0
2373,0,0,0,0,0,3,0
6837,2,0,0,0,0,0,0
6837,0,0,0,0,0,0,0
2478,0,0,0,0,0,0,0
6976,0,0,0,0,0,0,0
1523,0,0,0,0,0,0,0
2373,0,0,0,0,0,0,0
2081,0,0,0,0,0,1,0
2579,0,0,0,0,0,0,0
1925,0,0,0,0,0,0,0
